year,player_name,sg_total,sg_off_the_tee,sg_approach,sg_around_green,sg_putting,driving_distance,driving_accuracy,greens_in_regulation,scoring_average,money_earned,final_season_rank,sg_tee_to_green
2016,Kevin Na,0.627,-0.322,0.788,0.087,0.074,279.6,65.3,66.73,70.298,3441291.0,28.0,0.553
2016,Kevin Streelman,0.124,0.289,0.238,-0.008,-0.326,289.1,64.37,69.17,71.054,1601177.0,59.0,0.5189999999999999
2016,Kyle Reifers,0.177,0.117,0.04,-0.113,0.12,287.3,65.29,67.62,70.965,1539578.0,61.0,0.044
2016,Kyle Stanley,0.176,0.041,0.262,-0.07,-0.103,288.1,64.54,67.17,70.986,580734.0,116.0,0.23299999999999998
2016,Larry Mize,,,,,,,,,,24900.0,,
2016,Louis Oosthuizen,0.836,0.387,0.3,0.17,-0.021,294.0,61.67,68.15,70.327,2422079.0,38.0,0.8570000000000001
2016,Lucas Glover,0.572,0.565,0.308,-0.11,-0.192,298.3,64.37,71.63,70.534,948927.0,106.0,0.763
2016,Lucas Lee,,,,,,,,,,98965.0,,
2016,Luke Donald,0.378,-0.665,0.465,0.429,0.148,282.9,56.69,64.61,70.918,1634515.0,58.0,0.22899999999999998
2016,Luke Guthrie,-0.444,-0.819,-0.075,0.046,0.404,289.3,55.53,63.13,71.416,427442.0,,-0.8479999999999999
2016,Luke List,0.436,0.427,0.277,0.004,-0.273,306.9,50.98,67.17,70.754,751001.0,122.0,0.708
2016,Marc Leishman,0.51,0.159,-0.092,0.191,0.252,295.0,60.55,65.31,70.554,1566824.0,68.0,0.258
2016,Marc Turnesa,,,,,,,,,,82384.0,,
2016,Marco Dawson,,,,,,,,,,19848.0,,
2016,Mark Hensby,,,,,,,,,,17344.0,,
2016,Mark Hubbard,-0.216,-0.143,-0.189,-0.155,0.272,280.2,64.82,63.52,71.362,642942.0,115.0,-0.487
2016,Mark O'Meara,,,,,,,,,,20573.0,,
2016,Mark Wilson,-0.554,-0.501,-0.061,0.163,-0.155,274.7,66.2,64.96,71.436,306866.0,,-0.399
2016,Martin Laird,0.306,-0.178,0.313,0.053,0.158,298.5,55.14,67.66,70.867,1224680.0,77.0,0.188
2016,Martin Piller,-0.479,-0.444,-0.549,-0.24,0.518,286.6,58.97,64.33,71.813,570740.0,,-1.233
2016,Matt Bettencourt,,,,,,,,,,6195.0,,
2016,Matt Every,,,,,,,,,,158453.0,,
2016,Matt Jones,-0.324,-0.039,-0.233,0.197,-0.314,294.8,57.55,63.96,71.223,712723.0,126.0,-0.07500000000000001
2016,Matt Kuchar,1.314,0.364,0.326,0.242,0.381,285.8,65.67,67.82,69.844,3819678.0,18.0,0.9319999999999999
2016,Michael Bradley,,,,,,,,,,60114.0,,
2016,Michael Kim,-0.147,-0.006,-0.078,-0.111,0.276,284.3,58.64,62.96,71.203,664539.0,118.0,-0.195
2016,Michael Putnam,,,,,,,,,,65600.0,,
2016,Michael Thompson,-0.072,0.015,0.16,0.051,-0.151,291.4,60.57,66.18,71.204,521983.0,145.0,0.22599999999999998
2016,Miguel Angel Carballo,,,,,,,,,,240509.0,,
2016,Morgan Hoffmann,-0.116,-0.07,-0.192,-0.062,0.208,294.4,57.8,63.27,71.372,717890.0,133.0,-0.324
2016,Nick Taylor,-0.068,0.149,0.06,-0.123,-0.154,296.2,57.21,65.82,71.281,628756.0,129.0,0.086
2016,Nick Watney,,,,,,,,,,189880.0,,
2016,Omar Uresti,,,,,,,,,,7910.0,,
2016,Padraig Harrington,-0.067,-0.292,0.159,0.408,-0.342,289.6,60.66,62.96,71.032,654929.0,139.0,0.275
2016,Pat Perez,,,,,,,,,,47840.0,,
2016,Patrick Reed,1.026,0.183,0.158,0.406,0.28,297.4,55.96,64.65,70.17,5679575.0,3.0,0.747
2016,Patrick Rodgers,0.311,0.356,-0.009,0.157,-0.193,300.5,57.74,69.22,70.833,1290336.0,74.0,0.504
2016,Patton Kizzire,0.403,-0.34,0.339,-0.08,0.442,291.3,55.23,64.48,70.921,1468624.0,82.0,-0.081
2016,Paul Casey,1.372,0.494,0.616,0.15,0.112,295.2,64.67,70.8,69.95,3885560.0,5.0,1.2599999999999998
2016,Peter Malnati,-0.652,-0.538,-0.532,-0.073,0.491,279.7,60.54,62.09,71.686,1298945.0,104.0,-1.143
2016,Phil Mickelson,1.364,-0.145,0.726,0.218,0.565,294.8,54.82,66.05,69.582,4022628.0,16.0,0.7989999999999999
2016,Retief Goosen,0.613,-0.385,0.08,0.457,0.462,288.8,56.4,62.73,70.581,745735.0,141.0,0.15200000000000002
2016,Rhein Gibson,-0.708,-0.067,0.0,-0.376,-0.266,297.5,52.45,68.11,72.086,155578.0,,-0.443
2016,Rich Beem,,,,,,,,,,17450.0,,
2016,Rickie Fowler,1.378,0.529,0.308,0.387,0.153,301.6,58.69,69.26,70.118,2713563.0,31.0,1.224
2016,Ricky Barnes,0.295,-0.518,0.2,0.227,0.385,287.6,54.27,65.77,70.784,1158800.0,71.0,-0.091
2016,Rob Oppenheim,-0.298,-0.779,0.189,0.176,-0.038,281.2,55.28,63.58,71.435,462427.0,,-0.4140000000000001
2016,Robert Allenby,-1.95,-0.631,-0.46,-0.368,-0.491,282.2,55.06,63.73,73.117,25271.0,,-1.459
