year,player_name,sg_total,sg_off_the_tee,sg_approach,sg_around_green,sg_putting,driving_distance,driving_accuracy,greens_in_regulation,scoring_average,money_earned,final_season_rank,sg_tee_to_green
2023,Kevin Streelman,0.166,0.007,0.142,0.135,-0.118,297.3,59.83,66.61,71.149,1636664.0,87.0,0.28400000000000003
2023,Kevin Tway,-0.231,0.046,-0.15,-0.134,0.019,308.1,52.59,67.93,71.279,815058.0,147.0,-0.238
2023,Kevin Yu,0.236,0.803,0.204,0.033,-0.804,311.3,61.5,72.61,70.808,1232379.0,99.0,1.04
2023,Kramer Hickok,-0.359,0.024,-0.132,-0.061,-0.191,296.7,63.44,68.61,71.393,1017832.0,139.0,-0.169
2023,Kurt Kitayama,0.125,-0.117,0.285,0.106,-0.149,306.2,51.46,63.27,70.534,6840062.0,36.0,0.27399999999999997
2023,Kyle Stanley,,,,,,,,,,84721.0,227.0,
2023,Kyle Westmoreland,-0.897,0.093,-0.51,-0.05,-0.431,313.5,47.59,66.46,72.114,308365.0,196.0,-0.467
2023,Lanto Griffin,-0.295,0.149,-0.405,-0.08,0.041,302.3,63.65,68.52,71.754,514634.0,201.0,-0.336
2023,Lee Hodges,0.431,0.245,0.18,-0.16,0.165,300.3,60.14,65.52,70.623,3749468.0,40.0,0.265
2023,Lucas Glover,0.444,0.282,0.566,-0.061,-0.344,294.9,68.86,70.5,70.874,6399296.0,18.0,0.7869999999999999
2023,Lucas Herbert,-0.252,0.181,-0.496,-0.337,0.398,304.5,55.83,62.1,71.104,1192273.0,153.0,-0.652
2023,Ludvig Åberg,1.507,0.982,-0.006,0.209,0.322,317.1,65.47,73.33,69.603,3144994.0,135.0,1.185
2023,Luke Donald,,,,,,,,,,456642.0,182.0,
2023,Luke List,0.164,0.641,0.267,-0.123,-0.623,311.3,54.47,70.78,70.981,3029125.0,119.0,0.785
2023,MJ Daffue,-0.211,0.571,-0.374,-0.199,-0.209,310.5,58.46,66.99,71.483,830919.0,118.0,-0.0020000000000000573
2023,Mackenzie Hughes,0.201,-0.32,-0.23,0.383,0.367,299.5,55.35,65.61,70.749,4318591.0,51.0,-0.16700000000000004
2023,Mark Hubbard,0.614,-0.182,0.572,0.203,0.02,292.6,61.23,68.2,70.561,2932685.0,67.0,0.593
2023,Martin Laird,-0.234,-0.194,-0.042,0.051,-0.05,292.4,65.79,69.63,71.386,1258725.0,112.0,-0.18500000000000003
2023,Martin Trainer,-1.099,-0.364,-0.65,-0.032,-0.053,302.2,56.41,65.17,72.232,509265.0,178.0,-1.046
2023,Matt Fitzpatrick,0.921,0.211,-0.053,0.238,0.525,304.1,56.61,65.14,70.079,8144543.0,9.0,0.396
2023,Matt Kuchar,0.567,0.027,0.035,0.359,0.145,294.4,63.29,67.89,70.353,3840222.0,66.0,0.421
